A;;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES
B;;100836.4;100852.6;100836.4;100852.6;100836.4;100852.6
C;;FLOW;FLOW;FLOW-CUM;FLOW-CUM;STAGE;STAGE
E;;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR
F;;HERNAD_02_02;HERNAD_02_02;HERNAD_02_02;HERNAD_02_02;HERNAD_02_02;HERNAD_02_02
Units;;M3/S;M3/S;M3;M3;METERS;METERS
Type;;INST-VAL;INST-VAL;INST-CUM;INST-CUM;INST-VAL;INST-VAL
1;01jan2000  0000;1;10;100;0;2;7
2;01jan2000  0100;2;11;120;2;2;7
3;01jan2000  0200;3;12;125;4;2;7
4;01jan2000  0300;4;13;127;5;2;7
5;01jan2000  0400;5;14;129;6;2;7
6;01jan2000  0500;6;15;130;8;2;7
7;01jan2000  0600;7;16;130;10;3;6
8;01jan2000  0700;8;17;130;12;3;6
9;01jan2000  0800;9;18;132;14;3;6
10;01jan2000  0900;10;19;135;16;3;6
11;01jan2000  1000;1;20;140;18;3;6
12;01jan2000  1100;2;1;145;20;4;6
13;01jan2000  1200;3;2;146;22;4;4
14;01jan2000  1300;4;3;150;24;4;4
15;01jan2000  1400;5;4;152;26;4;4
16;01jan2000  1500;6;5;152;28;4;4
17;01jan2000  1600;7;6;154;30;4;4
18;01jan2000  1700;8;7;155;31;3;4
19;01jan2000  1800;9;8;160;32;3;8
20;01jan2000  1900;10;9;162;34;3;8
21;01jan2000  2000;20;1;165;36;3;8
22;01jan2000  2100;21;2;166;38;2;8
23;01jan2000  2200;22;3;167;40;2;9
24;01jan2000  2300;23;4;168;42;2;9
25;02jan2000  0000;24;5;169;44;2;9
26;02jan2000  0100;25;10;170;46;4;9
27;02jan2000  0200;26;11;171;48;4;9
28;02jan2000  0300;27;12;172;50;4;5
29;02jan2000  0400;28;13;173;52;4;5
30;02jan2000  0500;29;14;175;54;4;5
31;02jan2000  0600;20;15;176;56;3;5
32;02jan2000  0700;25;16;177;58;3;5
33;02jan2000  0800;28;18;178;60;3;4
34;02jan2000  0900;22;30;180;62;2;4
