A;;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES
B;;100836.4;100852.6;100836.4;100852.6;100836.4;100852.6
C;;FLOW;FLOW;FLOW-CUM;FLOW-CUM;STAGE;STAGE
E;;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR
F;;HERNAD_02_02;HERNAD_02_02;HERNAD_02_02;HERNAD_02_02;HERNAD_02_02;HERNAD_02_02
Units;;M3/S;M3/S;M3;M3;METERS;METERS
Type;;INST-VAL;INST-VAL;INST-CUM;INST-CUM;INST-VAL;INST-VAL
1;01jan2000  0000;20;40;0;0;150,69;160,7
2;01jan2000  0100;21;42,404;1;152106;150,73;160,75
3;01jan2000  0200;22;41,292;2;302129;150,7;160,73
4;01jan2000  0300;23;41,149;3;450308;150,7;160,72
5;01jan2000  0400;24;41,092;4;598420;150,7;160,72
6;01jan2000  0500;25;40,709;5;745612;150,69;160,71
7;01jan2000  0600;26;40,267;6;891217;150,68;160,7
8;01jan2000  0700;27;39,957;7;1035483;150,67;160,7
9;01jan2000  0800;28;39,765;8;1178901;150,67;160,69
10;01jan2000  0900;29;39,627;9;1321759;150,67;160,69
11;01jan2000  1000;30;39,483;10;1464122;150,66;160,68
12;01jan2000  1100;31;39,299;11;1605887;150,66;160,68
13;01jan2000  1200;32;39,077;12;1746905;150,65;160,68
14;01jan2000  1300;33;38,834;13;1887076;150,65;160,67
15;01jan2000  1400;34;38,58;14;2026349;150,64;160,66
16;01jan2000  1500;35;38,312;15;2164678;150,63;160,66
17;01jan2000  1600;36;38,017;16;2301996;150,63;160,65
18;01jan2000  1700;37;37,68;17;2438163;150,62;160,64
19;01jan2000  1800;20;37,306;18;2573034;150,61;160,63
20;01jan2000  1900;21;36,91;19;2706508;150,6;160,62
21;01jan2000  2000;22;36,503;20;2838528;150,59;160,61
22;01jan2000  2100;23;36,081;21;2969056;150,58;160,6
23;01jan2000  2200;24;35,626;22;3098009;150,57;160,59
24;01jan2000  2300;25;35,122;23;3225218;150,56;160,58
25;02jan2000  0000;26;34,585;24;3350534;150,55;160,56
26;02jan2000  0100;27;34,039;25;3473899;150,53;160,55
27;02jan2000  0200;28;33,481;26;3595266;150,52;160,54
28;02jan2000  0300;29;32,922;27;3714642;150,5;160,52
29;02jan2000  0400;48;32,339;28;3831982;150,49;160,51
30;02jan2000  0500;49;31,767;29;3947179;150,47;160,49
31;02jan2000  0600;50;31,108;30;4060108;150,46;160,48
32;02jan2000  0700;51;30,473;31;4170759;150,44;160,46
33;02jan2000  0800;52;29,813;32;4279070;150,42;160,44
34;02jan2000  0900;53;29,163;33;4385033;150,41;160,42
