A;;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES
B;;100836.4;100852.6;101384.2;101411.2;120768.7;12544.39;12559.83;14003.43;14024.8;15174.99;15210;23846.38;23886.08;25233.84;25261.73;401.135;52806.27;52832.28;57668.81;57694.58;62277.34;62299.02;68787.91;68808.31;69153.19;69176.9;69395.94;69420.65;84372.87;84392.71;97678.82;97707.88;98182.63;98321.23
C;;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE;STAGE
E;;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR;1HOUR
F;;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE;HERNAD_LEVEE_TOLTESRE
Units;;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS;METERS
Type;;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL;INST-VAL
1;01jan2215  0000;150.71;150.72;151.32;151.41;164.38;104.03;104.05;104.34;104.34;104.86;104.87;108.42;108.43;108.73;108.73;98.15;120.56;120.57;123.90;125.15;126.44;126.45;129.73;129.74;129.77;131.11;131.14;131.17;139.30;139.30;149.26;149.67;149.70;149.70
2;01jan2215  0100;150.74;150.77;151.35;151.50;164.37;104.03;104.06;104.34;104.34;104.86;104.86;108.42;108.42;108.73;108.71;98.18;120.55;120.56;123.69;125.44;126.44;126.42;129.73;129.74;129.77;131.13;131.15;131.18;139.30;139.30;149.24;149.69;149.72;149.72
3;01jan2215  0200;150.72;150.74;151.33;151.48;164.37;104.03;104.06;104.34;104.34;104.86;104.86;108.41;108.42;108.72;108.70;98.18;120.41;120.42;123.79;125.62;126.46;126.45;129.73;129.74;129.77;131.12;131.15;131.18;139.30;139.30;149.23;149.68;149.71;149.72
4;01jan2215  0300;150.71;150.73;151.32;151.47;164.37;104.03;104.06;104.34;104.35;104.86;104.86;108.41;108.42;108.72;108.70;98.18;120.41;120.42;123.84;125.71;126.49;126.47;129.73;129.74;129.77;131.12;131.15;131.18;139.31;139.31;149.22;149.67;149.70;149.71
5;01jan2215  0400;150.70;150.72;151.32;151.47;164.37;104.03;104.06;104.34;104.35;104.86;104.86;108.41;108.42;108.72;108.71;98.18;120.46;120.47;123.87;125.75;126.50;126.49;129.73;129.74;129.78;131.13;131.15;131.18;139.32;139.31;149.22;149.67;149.70;149.71
